"Frame","FrameTimeMs","UnitCount"
"255","10.9365","8"
"256","8.5227","8"
"257","10.8394","8"
"258","10.5492","8"
"259","9.9468","8"
"260","10.4699","8"
"261","8.3417","8"
"262","10.7226","8"
"263","9.8396","8"
"264","9.7003","8"
"265","10.6483","8"
"266","10.3735","8"
"267","10.9691","8"
"268","10.3108","8"
"269","8.683","8"
"270","11.5691","8"
"271","9.9529","8"
"272","9.8401","8"
"273","10.5785","8"
"274","9.821","8"
"275","10.1202","8"
"276","8.5493","8"
"277","11.1941","8"
"278","10.1705","8"
"279","9.7474","8"
"280","10.9837","8"
"281","9.3302","8"
"282","10.146","8"
"283","11.3839","8"
"284","8.6699","8"
"285","11.0721","8"
"286","10.1631","8"
"287","9.1687","8"
"288","11.1866","8"
"289","8.2448","8"
"290","11.0504","8"
"291","10.5863","8"
"292","8.9697","8"
"293","11.1386","8"
"294","8.3754","8"
"295","11.1562","8"
"296","10.3038","8"
"297","10.4547","8"
"298","9.8422","8"
"299","9.1855","8"
